release_id,pair_key,role,model_id,manufacturer,model,condition,speed_value,speed_unit,rpm,rps,capacity_w,input_w,cop,eer,value_kind,evidence_id,source_path,authority,locator
release:2026-08-03:001,model:samsung:ENV4A5DL2B::model:panasonic:TKF76E25DCH-52RPS,baseline,model:samsung:ENV4A5DL2B,Samsung,ENV4A5DL2B,ASHRAE-LBP · Variable,1650,rpm,1650,27.5,148,75,1.97,6.72,MEASURED,evidence:p15:samsung:env4a5dl2b:1650rpm,data/20260803-speed-performance-map-research.md,official,"{""accessedAt"": ""2026-08-03"", ""kind"": ""url"", ""url"": ""https://www.samsung.com/global/business/compressor/recipro-compressor/bldc-r600a-lbp-ac115-127v-60hz/""}"
release:2026-08-03:001,model:samsung:ENV4A5DL2B::model:panasonic:TKF76E25DCH-52RPS,baseline,model:samsung:ENV4A5DL2B,Samsung,ENV4A5DL2B,ASHRAE-LBP · Variable,1950,rpm,1950,32.5,174,88,1.98,6.77,MEASURED,evidence:p15:samsung:env4a5dl2b:1950rpm,data/20260803-speed-performance-map-research.md,official,"{""accessedAt"": ""2026-08-03"", ""kind"": ""url"", ""url"": ""https://www.samsung.com/global/business/compressor/recipro-compressor/bldc-r600a-lbp-ac115-127v-60hz/""}"
release:2026-08-03:001,model:samsung:ENV4A5DL2B::model:panasonic:TKF76E25DCH-52RPS,baseline,model:samsung:ENV4A5DL2B,Samsung,ENV4A5DL2B,ASHRAE-LBP · Variable,2800,rpm,2800,46.666666666666664,244,130,1.88,6.41,MEASURED,evidence:p15:samsung:env4a5dl2b:2800rpm,data/20260803-speed-performance-map-research.md,official,"{""accessedAt"": ""2026-08-03"", ""kind"": ""url"", ""url"": ""https://www.samsung.com/global/business/compressor/recipro-compressor/bldc-r600a-lbp-ac115-127v-60hz/""}"
release:2026-08-03:001,model:samsung:ENV4A5DL2B::model:panasonic:TKF76E25DCH-52RPS,baseline,model:samsung:ENV4A5DL2B,Samsung,ENV4A5DL2B,ASHRAE-LBP · Variable,3650,rpm,3650,60.833333333333336,315,182,1.73,5.91,MEASURED,evidence:p15:samsung:env4a5dl2b:3650rpm,data/20260803-speed-performance-map-research.md,official,"{""accessedAt"": ""2026-08-03"", ""kind"": ""url"", ""url"": ""https://www.samsung.com/global/business/compressor/recipro-compressor/bldc-r600a-lbp-ac115-127v-60hz/""}"
release:2026-08-03:001,model:samsung:ENV4A5DL2B::model:panasonic:TKF76E25DCH-52RPS,candidate,model:panasonic:TKF76E25DCH-52RPS,Panasonic,TKF76E25DCH-52RPS,ASHRAE-LBP · Variable,17,rps,1020,17,46,,2.07,,MEASURED,evidence:p15:panasonic:tkf76e25dch:17rps,data/20260803-speed-performance-map-research.md,official,"{""accessedAt"": ""2026-08-03"", ""kind"": ""url"", ""url"": ""https://industrial.panasonic.com/ww/products/pt/reciprocating-compressors-vs/models/TKF76E25DCH%2817RPS%29""}"
release:2026-08-03:001,model:samsung:ENV4A5DL2B::model:panasonic:TKF76E25DCH-52RPS,candidate,model:panasonic:TKF76E25DCH-52RPS,Panasonic,TKF76E25DCH-52RPS,ASHRAE-LBP · Variable,27,rps,1620,27,76,,2.17,,MEASURED,evidence:p15:panasonic:tkf76e25dch:27rps,data/20260803-speed-performance-map-research.md,official,"{""accessedAt"": ""2026-08-03"", ""kind"": ""url"", ""url"": ""https://industrial.panasonic.com/ww/products/pt/reciprocating-compressors-vs/models/TKF76E25DCH%2827RPS%29""}"
release:2026-08-03:001,model:samsung:ENV4A5DL2B::model:panasonic:TKF76E25DCH-52RPS,candidate,model:panasonic:TKF76E25DCH-52RPS,Panasonic,TKF76E25DCH-52RPS,ASHRAE-LBP · Variable,52,rps,3120,52,149,,2.06,,MEASURED,evidence:p15:panasonic:tkf76e25dch:52rps,data/20260803-speed-performance-map-research.md,official,"{""accessedAt"": ""2026-08-03"", ""kind"": ""url"", ""url"": ""https://industrial.panasonic.com/ww/products/pt/reciprocating-compressors-vs/models/TKF76E25DCH%2852RPS%29""}"
release:2026-08-03:001,model:samsung:ENV4A5DL2B::model:panasonic:TKF76E25DCH-52RPS,candidate,model:panasonic:TKF76E25DCH-52RPS,Panasonic,TKF76E25DCH-52RPS,ASHRAE-LBP · Variable,80,rps,4800,80,220,,1.83,,MEASURED,evidence:p15:panasonic:tkf76e25dch:80rps,data/20260803-speed-performance-map-research.md,official,"{""accessedAt"": ""2026-08-03"", ""kind"": ""url"", ""url"": ""https://industrial.panasonic.com/ww/products/pt/reciprocating-compressors-vs/models/TKF76E25DCH%2880RPS%29""}"
